lag_years,r,p_naive
-5,0.9356587863362156,1.0764159666693254e-19
-4,0.9358142225041233,3.576758038774662e-20
-3,0.9375884693015663,7.037595953508693e-21
-2,0.9429310862202043,3.7276142660325605e-22
-1,0.9471807160236639,2.3367402480455744e-23
0,0.9500400690378817,2.1835243301760874e-24
1,0.9452422314182363,5.0618823057803615e-23
2,0.9463574129301463,1.0191832136738308e-22
3,0.9488680773775364,1.1951009959977866e-22
4,0.9441715859580421,2.2193221344575344e-21
5,0.945579741062548,4.14451983848261e-21
