year,eruption_count,volcanic_magnitude_index
1850,1,100.0
1851,0,0.0
1852,0,0.0
1853,3,1101.0
1854,3,101100.0
1855,0,0.0
1856,3,11010.0
1857,1,10.0
1858,3,120.0
1859,0,0.0
1860,3,210.0
1861,3,11100.0
1862,0,0.0
1863,1,10.0
1864,1,100.0
1865,0,0.0
1866,2,200.0
1867,1,100.0
1868,2,110.0
1869,2,200.0
1870,3,1200.0
1871,4,1300.0
1872,6,42000.0
1873,2,110.0
1874,2,1100.0
1875,3,100020.0
1876,0,0.0
1877,2,10001.0
1878,4,2110.0
1879,1,100.0
1880,0,0.0
1881,0,0.0
1882,0,0.0
1883,5,1011110.0
1884,1,10.0
1885,2,1100.0
1886,3,120000.0
1887,1,1000.0
1888,2,10100.0
1889,1,100.0
1890,2,200.0
1891,0,0.0
1892,3,1200.0
1893,2,10100.0
1894,1,1000.0
1895,4,400.0
1896,1,100.0
1897,2,1100.0
1898,0,0.0
1899,2,10100.0
1900,4,310.0
1901,2,1010.0
1902,10,1071100.0
1903,2,20.0
1904,2,200.0
1905,2,200.0
1906,2,1100.0
1907,9,711.0
1908,0,0.0
1909,2,200.0
1910,2,110.0
1911,5,2210.0
1912,2,1001000.0
1913,5,11210.0
1914,4,11020.0
1915,1,1.0
1916,2,11000.0
1917,4,3010.0
1918,2,11000.0
1919,6,12021.0
1920,2,1100.0
1921,1,10.0
1922,0,0.0
1923,3,210.0
1924,2,110.0
1925,0,0.0
1926,3,2100.0
1927,1,10.0
1928,5,2210.0
1929,4,12010.0
1930,4,3100.0
1931,1,1000.0
1932,3,11010.0
1933,4,110110.0
1934,1,10.0
1935,0,0.0
1936,2,1010.0
1937,2,10100.0
1938,4,130.0
1939,3,120.0
1940,3,300.0
1941,2,200.0
1942,0,0.0
1943,2,11000.0
1944,7,2410.0
1945,0,0.0
1946,4,10300.0
1947,4,10210.0
1948,1,100.0
1949,3,2100.0
1950,3,1110.0
1951,6,21120.0
1952,7,520.0
1953,8,332.0
1954,5,230.0
1955,2,11000.0
1956,1,100000.0
1957,4,310.0
1958,3,210.0
1959,0,0.0
1960,1,1000.0
1961,5,2120.0
1962,3,1110.0
1963,8,104300.0
1964,3,210.0
1965,2,10001.0
1966,5,32000.0
1967,4,3010.0
1968,2,2000.0
1969,4,1210.0
1970,2,1010.0
1971,6,2310.0
1972,3,120.0
1973,4,2110.0
1974,7,13210.0
1975,3,1101.0
1976,5,1310.0
1977,5,2030.0
1978,6,3120.0
1979,7,2320.0
1980,3,101010.0
1981,8,2330.0
1982,4,310000.0
1983,4,11110.0
1984,5,2030.0
1985,3,2010.0
1986,5,2210.0
1987,3,1110.0
1988,5,4010.0
1989,2,20.0
1990,10,13330.0
1991,7,1100230.0
1992,8,12230.0
1993,9,270.0
1994,9,6030.0
1995,6,2130.0
1996,7,3220.0
1997,9,3150.0
1998,3,30.0
1999,5,13100.0
2000,6,4110.0
2001,4,1300.0
2002,6,13110.0
2003,1,1000.0
2004,3,10110.0
2005,3,12000.0
2006,8,3140.0
2007,5,12020.0
2008,4,22000.0
2009,2,1010.0
2010,9,16110.0
2011,10,22420.0
2012,3,1020.0
2013,8,2240.0
2014,6,11220.0
2015,7,21130.0
2016,5,1130.0
2017,8,2150.0
2018,15,22560.0
2019,8,40310.0
2020,2,10010.0
2021,7,21310.0
2022,5,110300.0
2023,5,140.0
2024,8,11420.0
2025,3,120.0
