lag_years,r,p_naive
-5,0.9356587863362156,1.076415966669324e-19
-4,0.9358142225041233,3.576758038774648e-20
-3,0.9375884693015663,7.037595953508699e-21
-2,0.9429310862202043,3.7276142660325615e-22
-1,0.9471807160236639,2.3367402480455744e-23
0,0.9500400690378817,2.1835243301760918e-24
1,0.9452422314182363,5.061882305780355e-23
2,0.9463574129301463,1.0191832136738346e-22
3,0.9488680773775364,1.195100995997787e-22
4,0.9441715859580421,2.2193221344575287e-21
5,0.945579741062548,4.144519838482609e-21
