year,tsi_wm2,tsi_unc_wm2
1610,1361.3345,0.104556054
1611,1361.4644,0.11835225
1612,1361.8406,0.20536041
1613,1361.8181,0.19863111
1614,1361.9281,0.23319441
1615,1362.0387,0.27182186
1616,1361.3019,0.10276103
1617,1361.0956,0.106975175
1618,1361.0848,0.10786112
1619,1361.238,0.10125681
1620,1361.238,0.10125681
1621,1361.238,0.10125681
1622,1361.238,0.10125681
1623,1361.238,0.10125681
1624,1361.178,0.10221356
1625,1361.5708,0.13673776
1626,1361.3805,0.108255595
1627,1361.2572,0.10143103
1628,1361.3369,0.104716755
1629,1361.2825,0.10202598
1630,1361.2008,0.101588376
1631,1361.1194,0.10521444
1632,1361.0706,0.1091304
1633,1361.4193,0.11241074
1634,1361.1804,0.10213308
1635,1361.2344,0.10125049
1636,1361.4518,0.11657363
1637,1361.6721,0.15919442
1638,1361.8955,0.22255163
1639,1361.9946,0.25598156
1640,1361.238,0.10125681
1641,1361.4358,0.11444013
1642,1361.636,0.15067364
1643,1361.2814,0.101988174
1644,1361.2091,0.101437576
1645,1361.0706,0.1091304
1646,1361.0706,0.1091304
1647,1361.0706,0.1091304
1648,1361.0706,0.1091304
1649,1361.0706,0.1091304
1650,1361.0706,0.1091304
1651,1361.0706,0.1091304
1652,1361.1183,0.10529546
1653,1361.0801,0.10827399
1654,1361.0789,0.10837782
1655,1361.0765,0.10858989
1656,1361.0706,0.1091304
1657,1361.0718,0.10902163
1658,1361.0706,0.1091304
1659,1361.0706,0.1091304
1660,1361.0956,0.106975175
1661,1361.0813,0.10816933
1662,1361.0706,0.1091304
1663,1361.0706,0.1091304
1664,1361.0706,0.1091304
1665,1361.0706,0.1091304
1666,1361.0706,0.1091304
1667,1361.0706,0.1091304
1668,1361.0706,0.1091304
1669,1361.0706,0.1091304
1670,1361.0706,0.1091304
1671,1361.0813,0.10816933
1672,1361.0753,0.108697094
1673,1361.0706,0.1091304
1674,1361.073,0.108911976
1675,1361.0706,0.1091304
1676,1361.0979,0.10678565
1677,1361.0753,0.108697094
1678,1361.073,0.108911976
1679,1361.0706,0.1091304
1680,1361.0801,0.10827399
1681,1361.0706,0.1091304
1682,1361.0706,0.1091304
1683,1361.0706,0.1091304
1684,1361.0908,0.10736197
1685,1361.0706,0.1091304
1686,1361.0778,0.10848378
1687,1361.0706,0.1091304
1688,1361.0778,0.10848378
1689,1361.0789,0.10837782
1690,1361.0706,0.1091304
1691,1361.0706,0.1091304
1692,1361.0706,0.1091304
1693,1361.0706,0.1091304
1694,1361.0706,0.1091304
1695,1361.0718,0.10902163
1696,1361.0706,0.1091304
1697,1361.0706,0.1091304
1698,1361.0706,0.1091304
1699,1361.0706,0.1091304
1700,1361.1069,0.1005744
1701,1361.154,0.10229907
1702,1361.197,0.10521687
1703,1361.2588,0.11138875
1704,1361.3411,0.12304634
1705,1361.4791,0.15033874
1706,1361.3585,0.12635112
1707,1361.2732,0.11398339
1708,1361.2104,0.10759511
1709,1361.1665,0.104647204
1710,1361.1266,0.10307524
1711,1361.0865,0.1025798
1712,1361.0752,0.10277913
1713,1361.0894,0.10117831
1714,1361.143,0.09551233
1715,1361.2695,0.09831333
1716,1361.388,0.10985627
1717,1361.5314,0.13582876
1718,1361.5006,0.12171082
1719,1361.4929,0.11336465
1720,1361.4027,0.085740685
1721,1361.3749,0.073290505
1722,1361.3096,0.054192405
1723,1361.2042,0.036474206
1724,1361.2937,0.04567788
1725,1361.3829,0.06560443
1726,1361.6003,0.12493739
1727,1361.8019,0.1932113
1728,1361.8701,0.22056857
1729,1361.6891,0.15862423
1730,1361.6614,0.15200968
1731,1361.3933,0.08250696
1732,1361.29,0.06644808
1733,1361.1714,0.05877393
1734,1361.1746,0.060804956
1735,1361.3586,0.08356924
1736,1361.6569,0.16047117
1737,1361.6804,0.16878541
1738,1361.7618,0.19678323
1739,1361.8217,0.21905622
1740,1361.5703,0.13823962
1741,1361.6198,0.15335754
1742,1361.391,0.09644958
1743,1361.2543,0.07550535
1744,1361.1473,0.069526166
1745,1361.156,0.06873077
1746,1361.2222,0.07050638
1747,1361.3198,0.08088754
1748,1361.6816,0.16950713
1749,1361.7252,0.18239167
1750,1361.7643,0.19428632
1751,1361.6014,0.14055133
1752,1361.5243,0.117472276
1753,1361.4105,0.088134795
1754,1361.2609,0.06004327
1755,1361.1821,0.052405953
1756,1361.1743,0.05047961
1757,1361.3608,0.07042099
1758,1361.5208,0.106536336
1759,1361.582,0.12195542
1760,1361.63,0.13446982
1761,1361.783,0.18321322
1762,1361.6494,0.13699211
1763,1361.5223,0.09787494
1764,1361.4568,0.07866625
1765,1361.3004,0.04178244
1766,1361.2056,0.03016564
1767,1361.4497,0.07349531
1768,1361.7518,0.16464649
1769,1361.963,0.24443936
1770,1361.9636,0.24524792
1771,1361.8934,0.21780154
1772,1361.7738,0.17421629
1773,1361.5239,0.09642601
1774,1361.4438,0.075646244
1775,1361.2073,0.034849994
1776,1361.284,0.04109929
1777,1361.7047,0.14999275
1778,1362.0667,0.28824186
1779,1362.0447,0.27737594
1780,1361.8741,0.2066006
1781,1361.8079,0.18096036
1782,1361.5327,0.09192182
1783,1361.4032,0.056300078
1784,1361.2361,0.023950469
1785,1361.3041,0.0346472
1786,1361.706,0.14666678
1787,1361.992,0.25594848
1788,1362.0531,0.2854309
1789,1361.9833,0.2585164
1790,1361.8566,0.21113205
1791,1361.7019,0.15954308
1792,1361.6683,0.15170237
1793,1361.5891,0.13078566
1794,1361.5127,0.11298708
1795,1361.31,0.07291767
1796,1361.257,0.06974321
1797,1361.1693,0.067182876
1798,1361.1362,0.07048181
1799,1361.1515,0.073779315
1800,1361.2435,0.08268388
1801,1361.5137,0.13580249
1802,1361.5215,0.14041525
1803,1361.4622,0.12889235
1804,1361.4927,0.13881877
1805,1361.4557,0.13300142
1806,1361.379,0.12027092
1807,1361.2126,0.10048746
1808,1361.1696,0.10038852
1809,1361.1243,0.10136561
1810,1361.0782,0.103460245
1811,1361.0856,0.10502159
1812,1361.1343,0.104701936
1813,1361.2103,0.10784234
1814,1361.2375,0.108818494
1815,1361.3666,0.1253785
1816,1361.5027,0.15228112
1817,1361.4808,0.14560914
1818,1361.4242,0.13171352
1819,1361.368,0.119400114
1820,1361.255,0.10129355
1821,1361.1677,0.0924634
1822,1361.1471,0.090033196
1823,1361.104,0.08768014
1824,1361.1553,0.08429597
1825,1361.2706,0.08814048
1826,1361.443,0.11313496
1827,1361.5812,0.14319877
1828,1361.6705,0.16539542
1829,1361.7484,0.18643774
1830,1361.7767,0.1918501
1831,1361.6041,0.13142276
1832,1361.4172,0.07703269
1833,1361.2142,0.038482938
1834,1361.2225,0.03539149
1835,1361.5315,0.097872436
1836,1361.9547,0.24098104
1837,1362.1494,0.32502824
1838,1361.9468,0.23494579
1839,1361.862,0.20054692
1840,1361.6984,0.1418992
1841,1361.5009,0.08131156
1842,1361.3807,0.04878549
1843,1361.2444,0.022212503
1844,1361.2462,0.023289962
1845,1361.4286,0.06266411
1846,1361.6106,0.11584865
1847,1361.8102,0.18411213
1848,1362.0016,0.26138112
1849,1361.9476,0.24168293
1850,1361.7836,0.18197174
1851,1361.7212,0.16295567
1852,1361.6761,0.15083441
1853,1361.5374,0.11216306
1854,1361.363,0.07318273
1855,1361.1906,0.054325663
1856,1361.155,0.056550466
1857,1361.314,0.06932917
1858,1361.6183,0.14049567
1859,1361.8894,0.23214757
1860,1361.9712,0.26329303
1861,1361.8658,0.21921791
1862,1361.7765,0.1844549
1863,1361.6113,0.12873828
1864,1361.554,0.11010695
1865,1361.4368,0.07698524
1866,1361.3068,0.04680001
1867,1361.2006,0.033709202
1868,1361.4071,0.067917086
1869,1361.6912,0.150968
1870,1362.048,0.29016903
1871,1362.0317,0.28601155
1872,1361.9713,0.2631849
1873,1361.8027,0.20025371
1874,1361.575,0.12945507
1875,1361.3528,0.096200466
1876,1361.2983,0.09361506
1877,1361.3105,0.09600262
1878,1361.1798,0.09288136
1879,1361.2246,0.09395065
1880,1361.4937,0.1131325
1881,1361.7493,0.13316981
1882,1361.7172,0.14338921
1883,1361.6727,0.15423793
1884,1361.7358,0.14825594
1885,1361.6375,0.13187928
1886,1361.3789,0.10078889
1887,1361.2672,0.08777958
1888,1361.2064,0.082081564
1889,1361.2009,0.080401726
1890,1361.2089,0.080465704
1891,1361.5068,0.10905076
1892,1361.8229,0.15646097
1893,1361.9004,0.17743751
1894,1361.8906,0.16684578
1895,1361.7562,0.14525655
1896,1361.5945,0.11904447
1897,1361.339,0.108429454
1898,1361.3961,0.10776053
1899,1361.2694,0.09633213
1900,1361.2485,0.096494064
1901,1361.1498,0.09457034
1902,1361.1782,0.09675731
1903,1361.3846,0.11001652
1904,1361.6416,0.124723926
1905,1361.6234,0.160485
1906,1361.7118,0.14127553
1907,1361.6744,0.15434627
1908,1361.6483,0.13535543
1909,1361.5477,0.13073358
1910,1361.3435,0.10748152
1911,1361.1946,0.09818143
1912,1361.1765,0.097308196
1913,1361.1562,0.09638888
1914,1361.2395,0.099773094
1915,1361.6466,0.13145864
1916,1361.7913,0.13787194
1917,1362.1729,0.1986237
1918,1362.041,0.16578154
1919,1361.7354,0.14984474
1920,1361.472,0.11497394
1921,1361.3773,0.10099142
1922,1361.2399,0.088764094
1923,1361.2076,0.07979502
1924,1361.2931,0.08832862
1925,1361.5048,0.1217824
